˙ㄊㄠ tao ⠋⠩⠁ wl7 tao5 f%a
˙ㄊㄡ tou ⠋⠷⠁ w.7 tou5 f(a
˙ㄊㄢ tan ⠋⠧⠁ w07 tan5 fva
˙ㄊㄤ tang ⠋⠭⠁ w;7 tang5 fxa
˙ㄊㄥ teng ⠋⠵⠁ w/7 teng5 fza
˙ㄊㄧ ti ⠋⠡⠁ wu7 ti5 f*a
˙ㄊㄧㄝ tie ⠋⠬⠁ wu,7 tie5 f+a
˙ㄊㄧㄠ tiao ⠋⠪⠁ wul7 tiao5 f[a
˙ㄊㄧㄢ tian ⠋⠞⠁ wu07 tian5 fta
˙ㄊㄧㄥ ting ⠋⠽⠁ wu/7 ting5 fya
˙ㄊㄨ tu ⠋⠌⠁ wj7 tu5 f/a
˙ㄊㄨㄛ tuo ⠋⠒⠁ wji7 tuo5 f3a
˙ㄊㄨㄟ tui ⠋⠫⠁ wjo7 tui5 f$a
˙ㄊㄨㄢ tuan ⠋⠻⠁ wj07 tuan5 f]a
˙ㄊㄨㄣ tun ⠋⠿⠁ wjp7 tun5 f=a
˙ㄊㄨㄥ tong ⠋⠯⠁ wj/7 tong5 f&a
˙ㄋㄚ na ⠝⠜⠁ s87 na5 n>a
˙ㄋㄜ ne ⠝⠮⠁ sk7 ne5 n!a
˙ㄋㄞ nai ⠝⠺⠁ s97 nai5 nwa
˙ㄋㄟ nei ⠝⠴⠁ so7 nei5 n0a
˙ㄋㄠ nao ⠝⠩⠁ sl7 nao5 n%a
˙ㄋㄡ nou ⠝⠷⠁ s.7 nou5 n(a
˙ㄋㄢ nan ⠝⠧⠁ s07 nan5 nva
˙ㄋㄣ nen ⠝⠥⠁ sp7 nen5 nua
˙ㄋㄤ nang ⠝⠭⠁ s;7 nang5 nxa
˙ㄋㄥ neng ⠝⠵⠁ s/7 neng5 nza
˙ㄋㄧ ni ⠝⠡⠁ su7 ni5 n*a
˙ㄋㄧㄚ nia ⠝⠾⠁ su87 nia5 n)a
˙ㄋㄧㄝ nie ⠝⠬⠁ su,7 nie5 n+a
˙ㄋㄧㄠ niao ⠝⠪⠁ sul7 niao5 n[a
˙ㄋㄧㄡ niu ⠝⠎⠁ su.7 niu5 nsa
˙ㄋㄧㄢ nian ⠝⠞⠁ su07 nian5 nta
˙ㄋㄧㄣ nin ⠝⠹⠁ sup7 nin5 n?a
˙ㄋㄧㄤ niang ⠝⠨⠁ su;7 niang5 n.a
˙ㄋㄧㄥ ning ⠝⠽⠁ su/7 ning5 nya
˙ㄋㄨ nu ⠝⠌⠁ sj7 nu5 n/a
˙ㄋㄨㄛ nuo ⠝⠒⠁ sji7 nuo5 n3a
˙ㄋㄨㄟ nui ⠝⠫⠁ sjo7 nui5 n$a
˙ㄋㄨㄢ nuan ⠝⠻⠁ sj07 nuan5 n]a
˙ㄋㄨㄣ nun ⠝⠿⠁ sjp7 nun5 n=a
˙ㄋㄨㄥ nong ⠝⠯⠁ sj/7 nong5 n&a
˙ㄋㄩ nü ⠝⠳⠁ sm7 nv5 n\a
˙ㄋㄩㄝ nüe ⠝⠦⠁ sm,7 nve5 n8a
˙ㄌㄚ la ⠉⠜⠁ x87 la5 c>a
˙ㄌㄛ lo ⠉⠣⠁ xi7 lo5 c<a
˙ㄌㄜ le ⠉⠮⠁ xk7 le5 c!a
˙ㄌㄞ lai ⠉⠺⠁ x97 lai5 cwa
˙ㄌㄟ lei ⠉⠴⠁ xo7 lei5 c0a
˙ㄌㄠ lao ⠉⠩⠁ xl7 lao5 c%a
˙ㄌㄡ lou ⠉⠷⠁ x.7 lou5 c(a
˙ㄌㄢ lan ⠉⠧⠁ x07 lan5 cva
˙ㄌㄤ lang ⠉⠭⠁ x;7 lang5 cxa
˙ㄌㄥ leng ⠉⠵⠁ x/7 leng5 cza
˙ㄌㄧ li ⠉⠡⠁ xu7 li5 c*a
˙ㄌㄧㄚ lia ⠉⠾⠁ xu87 lia5 c)a
˙ㄌㄧㄝ lie ⠉⠬⠁ xu,7 lie5 c+a
˙ㄌㄧㄠ liao ⠉⠪⠁ xul7 liao5 c[a
˙ㄌㄧㄡ liu ⠉⠎⠁ xu.7 liu5 csa
˙ㄌㄧㄢ lian ⠉⠞⠁ xu07 lian5 cta
˙ㄌㄧㄣ lin ⠉⠹⠁ xup7 lin5 c?a
˙ㄌㄧㄤ liang ⠉⠨⠁ xu;7 liang5 c.a
˙ㄌㄧㄥ ling ⠉⠽⠁ xu/7 ling5 cya
˙ㄌㄨ lu ⠉⠌⠁ xj7 lu5 c/a
˙ㄌㄨㄛ luo ⠉⠒⠁ xji7 luo5 c3a
˙ㄌㄨㄢ luan ⠉⠻⠁ xj07 luan5 c]a
˙ㄌㄨㄣ lun ⠉⠿⠁ xjp7 lun5 c=a
˙ㄌㄨㄥ long ⠉⠯⠁ xj/7 long5 c&a
˙ㄌㄩ lü ⠉⠳⠁ xm7 lv5 c\a
˙ㄌㄩㄝ lüe ⠉⠦⠁ xm,7 lve5 c8a
˙ㄌㄩㄢ lüan ⠉⠘⠁ xm07 lvan5 c^a
˙ㄌㄩㄣ lün ⠉⠲⠁ xmp7 lvn5 c4a
˙ㄍㄚ ga ⠅⠜⠁ e87 ga5 k>a
˙ㄍㄜ ge ⠅⠮⠁ ek7 ge5 k!a
˙ㄍㄞ gai ⠅⠺⠁ e97 gai5 kwa
˙ㄍㄟ gei ⠅⠴⠁ eo7 gei5 k0a
˙ㄍㄠ gao ⠅⠩⠁ el7 gao5 k%a
˙ㄍㄡ gou ⠅⠷⠁ e.7 gou5 k(a
˙ㄍㄢ gan ⠅⠧⠁ e07 gan5 kva
˙ㄍㄣ gen ⠅⠥⠁ ep7 gen5 kua
˙ㄍㄤ gang ⠅⠭⠁ e;7 gang5 kxa
˙ㄍㄥ geng ⠅⠵⠁ e/7 geng5 kza
˙ㄍㄨ gu ⠅⠌⠁ ej7 gu5 k/a
˙ㄍㄨㄚ gua ⠅⠔⠁ ej87 gua5 k9a
˙ㄍㄨㄛ guo ⠅⠒⠁ eji7 guo5 k3a
˙ㄍㄨㄞ guai ⠅⠶⠁ ej97 guai5 k7a
˙ㄍㄨㄟ gui ⠅⠫⠁ ejo7 gui5 k$a
˙ㄍㄨㄢ guan ⠅⠻⠁ ej07 guan5 k]a
˙ㄍㄨㄣ gun ⠅⠿⠁ ejp7 gun5 k=a
˙ㄍㄨㄤ guang ⠅⠸⠁ ej;7 guang5 k_a
˙ㄍㄨㄥ gong ⠅⠯⠁ ej/7 gong5 k&a
˙ㄎㄚ ka ⠇⠜⠁ d87 ka5 l>a
˙ㄎㄜ ke ⠇⠮⠁ dk7 ke5 l!a
˙ㄎㄞ kai ⠇⠺⠁ d97 kai5 lwa
˙ㄎㄠ kao ⠇⠩⠁ dl7 kao5 l%a
˙ㄎㄡ kou ⠇⠷⠁ d.7 kou5 l(a
˙ㄎㄢ kan ⠇⠧⠁ d07 kan5 lva
˙ㄎㄣ ken ⠇⠥⠁ dp7 ken5 lua
˙ㄎㄤ kang ⠇⠭⠁ d;7 kang5 lxa
˙ㄎㄥ keng ⠇⠵⠁ d/7 keng5 lza
˙ㄎㄨ ku ⠇⠌⠁ dj7 ku5 l/a
˙ㄎㄨㄚ kua ⠇⠔⠁ dj87 kua5 l9a
˙ㄎㄨㄛ kuo ⠇⠒⠁ dji7 kuo5 l3a
˙ㄎㄨㄞ kuai ⠇⠶⠁ dj97 kuai5 l7a
˙ㄎㄨㄟ kui ⠇⠫⠁ djo7 kui5 l$a
˙ㄎㄨㄢ kuan ⠇⠻⠁ dj07 kuan5 l]a
˙ㄎㄨㄣ kun ⠇⠿⠁ djp7 kun5 l=a
˙ㄎㄨㄤ kuang ⠇⠸⠁ dj;7 kuang5 l_a
˙ㄎㄨㄥ kong ⠇⠯⠁ dj/7 kong5 l&a
˙ㄏㄚ ha ⠗⠜⠁ c87 ha5 r>a
˙ㄏㄜ he ⠗⠮⠁ ck7 he5 r!a
˙ㄏㄞ hai ⠗⠺⠁ c97 hai5 rwa
˙ㄏㄟ hei ⠗⠴⠁ co7 hei5 r0a
˙ㄏㄠ hao ⠗⠩⠁ cl7 hao5 r%a
˙ㄏㄡ hou ⠗⠷⠁ c.7 hou5 r(a
˙ㄏㄢ han ⠗⠧⠁ c07 han5 rva
˙ㄏㄣ hen ⠗⠥⠁ cp7 hen5 rua
˙ㄏㄤ hang ⠗⠭⠁ c;7 hang5 rxa
˙ㄏㄥ heng ⠗⠵⠁ c/7 heng5 rza
˙ㄏㄨ hu ⠗⠌⠁ cj7 hu5 r/a
˙ㄏㄨㄚ hua ⠗⠔⠁ cj87 hua5 r9a
˙ㄏㄨㄛ huo ⠗⠒⠁ cji7 huo5 r3a
˙ㄏㄨㄞ huai ⠗⠶⠁ cj97 huai5 r7a
˙ㄏㄨㄟ hui ⠗⠫⠁ cjo7 hui5 r$a
˙ㄏㄨㄢ huan ⠗⠻⠁ cj07 huan5 r]a
˙ㄏㄨㄣ hun ⠗⠿⠁ cjp7 hun5 r=a
˙ㄏㄨㄤ huang ⠗⠸⠁ cj;7 huang5 r_a
˙ㄏㄨㄥ hong ⠗⠯⠁ cj/7 hong5 r&a
˙ㄐㄧ ji ⠅⠡⠁ ru7 ji5 k*a
˙ㄐㄧㄚ jia ⠅⠾⠁ ru87 jia5 k)a
˙ㄐㄧㄝ jie ⠅⠬⠁ ru,7 jie5 k+a
˙ㄐㄧㄠ jiao ⠅⠪⠁ rul7 jiao5 k[a
˙ㄐㄧㄡ jiu ⠅⠎⠁ ru.7 jiu5 ksa
˙ㄐㄧㄢ jian ⠅⠞⠁ ru07 jian5 kta
˙ㄐㄧㄣ jin ⠅⠹⠁ rup7 jin5 k?a
˙ㄐㄧㄤ jiang ⠅⠨⠁ ru;7 jiang5 k.a
˙ㄐㄧㄥ jing ⠅⠽⠁ ru/7 jing5 kya
˙ㄐㄩ ju ⠅⠳⠁ rm7 ju5 k\a
˙ㄐㄩㄝ jue ⠅⠦⠁ rm,7 jue5 k8a
˙ㄐㄩㄢ juan ⠅⠘⠁ rm07 juan5 k^a
˙ㄐㄩㄣ jun ⠅⠲⠁ rmp7 jun5 k4a
˙ㄐㄩㄥ jiong ⠅⠖⠁ rm/7 jiong5 k6a
˙ㄑㄧ qi ⠚⠡⠁ fu7 qi5 j*a
